periodo;cole_area_ubicacion;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_depto_ubicacion;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_mcpio_presentacion;estu_mcpio_reside;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A-;2;3;1;Entre 30 y 60 minutos;No leo por entretenimiento;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;51;217;39;41;56;27
20241;URBANO;170742000071;170742000071;SUCRE;NOCHE;SAN LUIS DE SINCÉ;OFICIAL;INST EDUC SAN JUAN BAUTISTA DE LA SALLE;INST EDUC SAN JUAN BAUTISTA DE LA SALLE;2;A-;3;2;2;No Navega Internet;Entre 1 y 2 horas;SUCRE;SUCRE;SINCELEJO;SAN LUIS DE SINCÉ;45;233;37;53;50;42
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;2;1;1;Entre 1 y 3 horas;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;37;183;42;50;22;36
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A-;2;3;2;30 minutos o menos;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;50;249;47;48;53;49
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A-;2;3;2;;;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;43;229;44;49;51;41
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;1;1;1;;;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;38;168;38;32;32;31
20242;URBANO;170265000005;170265000005;SUCRE;MAÑANA;GUARANDA;OFICIAL;I.E. DE GUARANDA;I.E. DE GUARANDA - SEDE PRINCIPAL;1;A-;2;2;2;No Navega Internet;Más de 2 horas;SUCRE;SUCRE;MAJAGUAL;GUARANDA;37;202;33;44;41;42
20242;URBANO;170429000001;170429000001;SUCRE;MAÑANA;MAJAGUAL;OFICIAL;I.E. NORMAL SUPERIOR DE LA MOJANA;I.E. NORMAL SUPERIOR DE LA MOJANA - SEDE PRINCIPAL;1;A-;2;2;1;Entre 30 y 60 minutos;No leo por entretenimiento;SUCRE;SUCRE;MAJAGUAL;MAJAGUAL;40;184;46;39;38;27
20242;URBANO;170001000112;170001000112;SUCRE;UNICA;SINCELEJO;OFICIAL;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;2;A2;3;3;2;30 minutos o menos;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SINCELEJO;49;275;64;59;55;54
20242;RURAL;270429000928;270429000928;SUCRE;MAÑANA;MAJAGUAL;OFICIAL;INST EDUC SANTANDER;INST EDUC SANTANDER;2;A-;3;3;2;Entre 30 y 60 minutos;Entre 30 y 60 minutos;SUCRE;SUCRE;MAJAGUAL;MAJAGUAL;51;250;36;55;52;47
